text,labels,id,created_at
"$JPM $C $FISV $WFC:

Stimulus Payments Slow Down Online Banking:

https://t.co/8bsaP4P9C2",negative,63563.0,2020-04-15 23:00:07+00:00
will AAP go down?,-1,,
"For Servicing You""
"" Our Chartered Accountants"" 
#StockAdviosry #Advisory #Stocks #investment https://t.co/AtAUE3OANn",neutral,614258.0,2020-06-22 12:25:20+00:00
I have not seen many people/funds bearish $spx  it is the majority that think it’s going to ATH but it’s ok because of Fed.  $spy $qqq $iwm,negative,61851.0,2020-04-14 03:44:25+00:00
Investors want massive cuts to global oil supply as an initial measure to address the ballooning coronavirus crisis https://t.co/D3DmKTYKRM,-1,,
"Lazard and Evercore will help Boeing analyze government aid and potential funding from the private market, people fâ€¦ https://t.co/V3qPRWUfgJ",1,,
VNG I swear never seen such terrible reporting on one stock ever in my life > The Cuban news is not negative lol,1,,
NEW Blog Post: Followup to Yesterday's Watchlist- ots of Movers  DVA CSOD HES DXJ HD AXP CSX BAC OIH BBY,1,,
"RT @HedgeyeDJ: In 2019, companies in the SP500 bought back $803 billion in stock. And as a result of draining the rainy day fund to goose C…",,133262.0,2020-04-20 11:32:54+00:00
Exports grew 16.5 percent to 19.1 million liters .,1,,
"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",1,,
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",1,,
It inspects the companys strategic strengths and weaknesses .,0,,
"schwalm ( at ) outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",0,,
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",0,,
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,1,,
( I&H ) in a move to enhance growth .,1,,
$BE hod nice long #DayTrading #stocks #stockstotrade,,158023.0,2020-04-22 14:40:51+00:00
GF Open new position at 35.52 - new uptrend starting  ,1,,
"After Lehman declared bankruptcy in 2008, a group of market-timing services recommended extensive short positions iâ€¦ https://t.co/AhzlyhnZfg",-1,,
"AAP all round slow day, more concerned about be down on the high day, makes being higher Friday tough, but do-able?",1,,
BSFT ran into the gap today and pulled back - maybe a trade in to it again   ,1,,
"Sensex, Nifty Set For Another Day Of Mayhem Amid Global Selloff, Coronavirus Fear
https://t.co/8mRLyuqWJu",-1,,
"Chinese authorities appear spooked by their own success getting investors crazy about #stocks. State funds cut stakes in big insurer PICC, tech firms, sending signal #China wants to curb the frenzy. https://t.co/QhPSmAHZEj",negative,849304.0,2020-07-10 12:10:32+00:00
RT @MarkQuarter: Johnson &amp; Johnson $JNJ Sudafed Destroying Rural America http://t.co/xEXFPIzFl2 http://t.co/dENYCtK31M,,907606.0,2020-07-15 23:21:04+00:00
Skim the cream of financial news $TWTR $FB $LNKD https://t.co/7gg0FoRUNF https://t.co/qftGI8Lvvl,neutral,595393.0,2020-06-20 10:33:31+00:00
MGM held this long term resistance: user: MGM Caught in a ange user   ,-1,,
"user I hate to be under 3, as average I end screw up, no good for me NN",-1,,
Side note: Nelson Peltz (Trian) actually designed the new HNZ ketchup packets. Wendy's is one Peltz's fav investment.,1,,
"Bob Iger returns as CEO to help contain the impact of coronavirus on Disney. The stock has fallen 25% since Feb.
https://t.co/doVY58rGxV
#BobIger #disney $DIS #Chapek",,43014.0,2020-04-13 09:16:18+00:00
notable S this morning user: INVN ikely in new iphone 5s  ,1,,
CS will play lower,-1,,
Futures Movers: Oil finishes higher with supply cuts and pickup in demand lifting U.S. prices by more than 3% #stocks #market https://t.co/k5iFXKNBpw,positive,395066.0,2020-06-03 20:35:19+00:00
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1,,
HSBC HOLDINGS PLC (HSBC) Q1 2020 Earnings Call Transcript @themotleyfool #stocks $HSBC https://t.co/CvmgAxAjAt,,231244.0,2020-04-28 13:56:12+00:00
"Check out this “Stay at home Stock Index” by @RihardJarc -- Great Work!! 

$AMZN
$ZM
$WORK
$NFLX
$JD
$APRN
$DOCU
$BABA
$SHOP
$ROKU
$ATVI
$EA
$CCI
$AMT
$TEAM
$OKTA
$W
$OSTK",,216232.0,2020-04-27 14:40:45+00:00
"Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .",0,,
"RT @SharpStreetCap: $AMZN and $AAPL doing its best to prop up the markets here. 

$SPY $QQQ",,639682.0,2020-06-24 17:04:18+00:00
RT @KimbleCharting: S&amp;P 500 repeating 2000 &amp; 2007 patterns in time and price? What it does at current levels is the make or break price lev…,,34418.0,2020-04-13 20:24:03+00:00
The new units should become one of the largest ones within the company .,0,,
"RT @Tickermarket: #Marketupdates : #stocks end down, #Rupee #Bonds close firm amid #IndoChinaBorder tensions, weakness in Banks &amp; IT shares…",,704092.0,2020-06-29 14:48:14+00:00
Net sales revenue per passenger is expected to increase .,1,,
"Interest rates will be at zero forever.   No alternative but stocks, right?  $ES_F $SPY $SPX 

@StockCats @CreateCapital",,244067.0,2020-04-29 19:07:44+00:00
"RT @Lakshmi_888: Harmonics #Charts #trading $SPX #SPX #ES_F $ES $ES_F $SPY $DOW #DOW $RTY $RUT #DAX #FTSE $NQ #NQ 

Broken red equilateral…",neutral,557766.0,2020-06-17 12:59:42+00:00
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",0,,
ISIS we open anywhere here or under 16.75 we see 17.25 - easiest .50 cent trade ever,1,,
MD a steady gainer since mid January. One of our alternative Bakken picks. North Dakota piece here:  CP IET,1,,
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,0,,
"GeoSentric Oyj s GeoSolutions Business Unit GyPSii , the mobile digital lifestyle application and geo-mobility social networking platform , has signed an agreement with Nanjing MyNet to make the GyPSii mobile social networking platform available to customers of China Mobile .",1,,
Quietly IBM has been on a nice run. Value lies in its transformative nature. Our take from fall:  ,1,,
user How about those gains and volume surge in this little guy EDS,1,,
AMZN but but but.....yap yap yap,1,,
( The acquisition sum has not been disclosed . ),0,,
This release is not an offer of securities for sale into the United States or elsewhere .,0,,
user: AAP Covered 1/2 +7.27 (434.97 - 427.70). ? good in and out you might get to re buy in 30 minutes,1,,
$AMZN breaking 138.2% https://t.co/SvBQPjw7DV,,736266.0,2020-07-01 14:13:35+00:00
user: AAP always good to look at all timeframes.   I was looking  2-5-10 and they all said something different O plan around that,1,,
The resignation will be in effect immediately .,0,,
"INFN continuing to look strong, looking for a move to 7.15",1,,
yum down premarket through the cloud but has support at about 62.75   ,-1,,
"COVID-19 To Impact Economic Activity Directly Due To Lockdowns: RBI
https://t.co/o9a1NYqTiU",-1,,
@CleeStuntin Let's make some money $AAPL $MSFT $AMZN $FB $NFLX $GOOGL $AMD $ZM $BYND $BA $BABA $DAL $WMT $HD $TSLA $QQQ $SPY $BA $NVDA,positive,625360.0,2020-06-23 15:33:22+00:00
"Fiskars R , founded in 1649 , is one of the oldest companies in the world and is the largest manufacturer of lightweight stainless steel scissors in the U.S. .",0,,
"Trades this week

$SPX 00s pts
$Dow 000s pts
$NQ 00s pts

#TRX
#MTFB
#88e (traded/still in)
#COPL Traded/still in)
#ICON 3+ bagged
#TLW 3+ bagged
#ASOS

Others: 20% quick trades

V lucky to have had an incredible week in the markets despite global economy being in the shi1tters😂",,4591.0,2020-04-09 17:04:51+00:00
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand .",0,,
OVTI downgrade on Sept 7th 16.77 after Q1 looking good. next filing Q3 end of feb.  ,-1,,
don't tell everyone ... user: That's a nice looking diverse list of 52-week highs: JNJ MMM GS OC F WAG DE,1,,
The parties have agreed not to disclose the transaction value .,0,,
B from watch list at line on volume of 48% of average full day - hope it picks up a bit   ,1,,
"Just kidding, more legible version. Currently long FS (tweeted on friday)  ",1,,
$spx $dia $qqq $es_f close all pos.  can't beat #fedaid printing press.  Have to let the koolaid and liquidity dry up.  For the real crash predicting 6-8mo from now.,,227605.0,2020-04-28 18:03:28+00:00
"The core of Solidium 's investment strategy is proper , value enhancing asset management of the current holdings .",1,,
The deal means that ten persons in three countries will transfer to Tieto .,0,,
Most of the layoffs will be in Finland .,-1,,
"RT @HoboIowa: @GovMikeDeWine '
Rmbr when #Acton sd Ohio was working w $goog? Will Covid positive Ohioans be put on the new Google #covidtra…",,45843.0,2020-04-14 23:08:56+00:00
"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices .",0,,
Which stocks on your watchlist are holding up today? Focus on those. I'm watching: ECHO BCC WSM ABBV ANGI among others.,1,,
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",1,,
"RT @elementmacro: @gamesblazer06 I might be missing something... Consensus?

From Apr 17 alone...
- $GS ""Unlikely to make new lows""
- $MS ""…",,146072.0,2020-04-21 12:41:10+00:00
"New #psychedelic #stocks section added to https://t.co/xPfkleRCXC #Marijuana Directory $TRIP.C $RVV.C $BOSS.C 
https://t.co/pWJkA1Kipe https://t.co/vDc1uvQLCi",,656153.0,2020-06-25 15:10:18+00:00
@AdamMancini4 I’m seeing 2650 as a zone of support for $SPX.  What are your thoughts?,neutral,72669.0,2020-04-15 12:22:38+00:00
"Also , a six-year historic analysis is provided for these markets .",0,,
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",0,,
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,1,,
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,0,,
"So here's the next question, how do states make up 1 month of lost revenue?  NY $7.3B/month, got $1.5B stimulus-- so still in the hole for $5.8B for the month??  Good luck with funding your pensions... $SPY $SPX #ES_F https://t.co/bJhfXR0npl",,78581.0,2020-04-16 23:18:09+00:00
My instincts are spot on in 2013 and still think CTIC will hit 2.05 this wk but still want to stick to my morning watchlist & not chase,1,,
"TOS frozen for anyone else?

#es_f $spx $spy #options #futures #cl_f $forex",neutral,36981.0,2020-04-13 17:31:40+00:00
DN trying to push through 10.60,1,,
Market Wrap Video + Additions to Watch ist  including: AIZ CBMX CDX MAN MDSO NDAQ TWO,1,,
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,-1,,
Canadian Banks are rock solid $fie.ca $zeb.ca buying the dips will pay 💰 handsomely #stocks https://t.co/Efo9QxXRe2,,525316.0,2020-06-15 17:38:53+00:00
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1,,
"KWK this one is heavily oversold here, think with the other players rallying massively this one is due for a big pop.  P XCO ECA NG",1,,
@jimcramer $AMZN rocked out ... I don’t own any today I was short in $SDOW ... happy for those I know who are big in it. I have $TSLA today was sweet. Make enough profit in that to buy a new Model Y cash soon. Up 300 points on my original buy 2 weeks ago. Markets were crazy today.,,32806.0,2020-04-13 23:17:17+00:00
The passenger tunnel is expected to be put into operation in 2009 .,0,,
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,1,,
"Reliance Industries raises Rs 8,500 crore using cheaper NCD funds; plans to replace high-cost rupee debt

https://t.co/nopSBtIZqD",1,,
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,0,,
BAC Very Strong   Making  since 1 week on both sides. But Today Bull !,1,,
CW long here 3.22,1,,
$IZEA. News!! $work $fb #instagram,neutral,928080.0,2020-07-16 18:05:21+00:00
Technopolis 's technological centers supply their clients with modern high-class premises .,0,,
"Overwhelming demand, mass absences and a restive workforce. Amazon struggles with its coronavirus response. https://t.co/IepzajuiU0",-1,,
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",1,,
EXH from watch list just over line on volume of 13% of average full day   ,1,,
AXA Over-Sold in Oscillating ange....indicators suggest buy price holds above prev close + increase in volume.,1,,
"RT @TicTocTick: Expecting to sell all rally below 2854, potential target 🎯 2554 the coming week (5/3). Now 2820.

Below key orderflow level…",,259101.0,2020-05-03 14:30:01+00:00
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",0,,
"RT @Lakshmi_888: #SPX $SPX $ES_F $SPY $DOW #DOW $YM $IWM $NQ #NQ $RUT $DIA #DAX #FTSE #Harmonic #charts 

Daily t/f perspective $SPX

Wedge…",,353899.0,2020-05-29 15:04:47+00:00
"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 .",0,,
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .,1,,
"Jobs will not be transferred from Finland , however .",1,,
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",1,,
"user: AAP After google hit bottom a few yrs back, it rallied for a year. What's your time frame? 10 X 420 Jan 2015 !",1,,
NVDA has started to bounce & broke out from a falling wedge closing above resistance 12.6 level  ,1,,
"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",0,,
G has been quiet lately; good to get in before the pop,1,,
CNK - potential head and shoulders leading into BOJ  bit.ly/XStZaG    ,-1,,
user: wooow looks like AAP broke the resistance   two nice spinning tops earlier this week..,1,,
@satoritrade Yeah this will end well. Let's all just buy FAAMG and make everyone work for them. $SPX to 1M.,,379364.0,2020-06-01 06:44:35+00:00
DE outside bbands - I have to believe this pulls in a bit.   ,-1,,
"@RiskReversal just made a compelling argument for selling out of $FB rn! 

Forget history judging Zuckerberg roughly, the next 6 polarizing months is going to continue to pound the stock, if you believe there will be sustained pressure on the company leading up to the election!",negative,382830.0,2020-06-02 21:17:43+00:00
ANAD :o),1,,
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",0,,
The company continued the development of a fully human antibody in its VAP-1 antibody program .,0,,
MSI - glad I waited until 11:52AM b4 placing close stop (not hit). Now can breath much easier as it is up for the day. ,1,,
UPDATE 1-FDA declines to approve Merck and Eisai's liver cancer combo therapy $MRK https://t.co/Rkm75X42Tj,,854949.0,2020-07-11 23:02:42+00:00
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills .",0,,
"$BLK, $GOOG   to Puts_May_be_Swing ($SL 20 %) .] -&amp;gt; &lt;a href=""mailto:""&gt;",,656220.0,2020-06-25 15:06:33+00:00
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",0,,
AAP Netflix Is Overpriced but Apple Is On Sale  ,1,,
WMT DJ Wal-Mart de Mexico 4Q Earnings Slightly Below Expectations ,-1,,
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,-1,,
"Oh Brother! Coronavirus Calls Split Family Fortunes On Wall Street
https://t.co/9o7l9OrjmI",-1,,
eading stocks analysis updated  Failing breakouts & high vol 50DMA breaks confirm correction. AAP FB DDD ES_F,-1,,
user BAC we are seeing...,1,,
"Bias Game #48
Fellow traders, here we are with another Bias Game quiz! 
Let's see what you think of this one 😉
Vote in our latest tweet!
If you like this content, help us share!! 👍
#Wyckoff #trading #wyckoffmethod #stocks #stockmarket #learntotrade #tradelikeapro #cryptotrading https://t.co/mHVUpXmDmo",neutral,401939.0,2020-06-03 13:31:57+00:00
"What I learn from from past experience in trading the best way to identify trend as well as support and resistance in single timeframe called SSA just name found from internet (Singular spectrum analysis)
#Nifty #Banknifty #Stocks or any #globalIndex  or stock use with Fibonacci https://t.co/lwUeWNQBF3",,295496.0,2020-05-06 15:55:07+00:00
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",0,,
"It grew in Finland , Norway , Denmark and the Baltic countries .",0,,
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",0,,
The order is related to renewing the network of the telecommunications operator .,0,,
"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",1,,
"ed Weekly Triangle on SNSS,....Net Profit  16,644.00 (9.17%)  ",-1,,
RT @quakes99: Resource Maven on #Uranium: Why The Bull Is Building &amp; How To Position 🐂⚛️⛏️ Gwen @miningmavengwen leads a discussion with Sc…,neutral,412733.0,2020-06-04 16:20:08+00:00
RT @MarkNewtonCMT: $IHI Ishares Medical Dvcs ETF broke back out today above highs made in Jan #IBDPartner which along w/Pharmaceuticals $DR…,,933161.0,2020-07-16 13:08:58+00:00
"Ask Grantham how many hedge funds went belly up and then how I'm doing. Please. These fools come on and are mad they miss every boat and try to get risk-takers to sell to them. It's SAD. #stocks 
@CNBC",,551925.0,2020-06-17 19:22:28+00:00
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",-1,,
AAP GS says higher div likely .. more value investors? Why no stock split instead?  ,1,,
RT @NorthmanTrader: $SPX much more optimistic than the Baltic Dry Index. https://t.co/YCEIFMnuZy,,319136.0,2020-05-08 18:39:09+00:00
Now watching BA,-1,,
Consumer Cyclical #Stocks Moving In Thursday's Pre-Market Session: $DPZ $JCP $LITB $MLCO $NLS $SNBR $WYNN #MarketUpdate https://t.co/x5WgNpoDDB,neutral,176104.0,2020-04-23 11:46:13+00:00
Finnish Bank of +_land will launch its long-term pension savings account at the beginning of June 2010 .,0,,
"SCOPI Chief Business Excellence Officer , Eng .",0,,
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .",0,,
ZCS almost hit my stop loss...glad to see it heading back up,1,,
AMTD TD Ameritrade two massive blocks of upside calls over past week.  ,1,,
"Would be nice if Amazon would dip to $2,100-$2,200, I would add some more shares. I do think it will go to $2,600 over the next 6 months. $AMZN #Amazon #Stockmarket",,142539.0,2020-04-21 16:00:40+00:00
"#Gold prices slip below Rs 46,000 as #investors book profits amid #coronavirus-led #recession fears https://t.co/fSylAJrUqv",-1,,
The Dow falls 410 points to end a period marred by coronavirus https://t.co/v4PutP9tYc,-1,,
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,1,,
"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",1,,
"RT @LMT978: $AMZN hit +$1,000 today since I made it our Chart of the Day best idea for Members on March 25. 

I am currently +48% in my ope…",positive,751775.0,2020-07-02 14:56:15+00:00
$amzn 2400/2395 june 5,,376032.0,2020-06-01 14:16:11+00:00
"Patriots. Boycott these funds-- overweight on $FB

Fidelity Contrafund ($FCNTX) (6.9% $FB)
T. Rowe Price Blue Chip Growth Fund ($TRCBX) (5.3% $FB)
The Growth Fund of America ($AGTHX) (5% $FB)

#BoycottFidelity -- start there. 

https://t.co/SOFQjXeO3O via @investopedia",,397669.0,2020-06-03 17:46:09+00:00
ZNGA looks good long here w a stop 3.09.. still long some but mostly sold [not adding],1,,
BID -puts were active yesterday going out to Jan  ,-1,,
Hot osers FNS TSX INTC AMN JDS,-1,,
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",0,,
3012 and 2935 on SP500 is the top! Be mindful,,95761.0,2020-04-17 19:52:39+00:00
ACAD looking for a move over 7.95,1,,
opening momentum watchlist: KEX CHTP THD DCTH ZIOP ZNGA HES VMW XONE ACAD SPT,1,,
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,-1,,
Long $FB https://t.co/doXfAKVWDP,positive,241954.0,2020-04-29 20:19:11+00:00
EV over  40.72  ,1,,
"Very important day for JPM, it will interesting to see if it can break 50.11  ",1,,
Z Zillow from watch list over line as a continuation with volume of 40% of average full day   ,1,,
Everything doing great!! #SP500 Great Again!!!,positive,698256.0,2020-06-29 20:03:36+00:00
"The US rig count down 62 rigs from previous week to 602
🛢oil rigs down 58 to 504
⛽️gas rigs down four at 96
💡miscellaneous rigs unchanged at two
🔎according to current numbers from Baker Hughes

#oil #oott #energy #stocks #economy #economics #investment #investments https://t.co/oqtyaNkNj1",,39282.0,2020-04-13 15:06:35+00:00
"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .",1,,
Comment a link to a news article we should read before going to bed! #investing #finance #news #stocks,,776899.0,2020-07-06 22:15:22+00:00
KCG back in at 3.8 :) ,1,,
